id_dedl,original,upper,missions,unsep,rmstr,split
,SAO_S2_ST_BRDF_20m_L2A,SAO_S2_ST_BRDF_20M_L2A,SAO_SENTINEL2_ST_BRDF_20M_L2A,SAO SENTINEL2 ST BRDF 20M L2A,SAO SENTINEL2 ST BRDF 20M L2A,"['SAO', 'SENTINEL2', 'ST', 'BRDF', '20M', 'L2A']"
,SAO_S2_ST_BRDF_60m_L2A,SAO_S2_ST_BRDF_60M_L2A,SAO_SENTINEL2_ST_BRDF_60M_L2A,SAO SENTINEL2 ST BRDF 60M L2A,SAO SENTINEL2 ST BRDF 60M L2A,"['SAO', 'SENTINEL2', 'ST', 'BRDF', '60M', 'L2A']"
,SAO_S2_ST_DEM_BRDF_20m_L2A_SCL_BAND,SAO_S2_ST_DEM_BRDF_20M_L2A_SCL_BAND,SAO_SENTINEL2_ST_DEM_BRDF_20M_L2A_SCL_BAND,SAO SENTINEL2 ST DEM BRDF 20M L2A SCL BAND,SAO SENTINEL2 ST DEM BRDF 20M L2A SCL BAND,"['SAO', 'SENTINEL2', 'ST', 'DEM', 'BRDF', '20M', 'L2A', 'SCL', 'BAND']"
,SAO_S2_ST_DEM_BRDF_60m_L2A_SCL_BAND,SAO_S2_ST_DEM_BRDF_60M_L2A_SCL_BAND,SAO_SENTINEL2_ST_DEM_BRDF_60M_L2A_SCL_BAND,SAO SENTINEL2 ST DEM BRDF 60M L2A SCL BAND,SAO SENTINEL2 ST DEM BRDF 60M L2A SCL BAND,"['SAO', 'SENTINEL2', 'ST', 'DEM', 'BRDF', '60M', 'L2A', 'SCL', 'BAND']"
,SAR2Cube_SInCohMap_S1_L0_117_ASC_SOUTH_TYROL,SAR2CUBE_SINCOHMAP_S1_L0_117_ASC_SOUTH_TYROL,SAR2CUBE_SINCOHMAP_SENTINEL1_L0_117_ASC_SOUTH_TYROL,SAR2CUBE SINCOHMAP SENTINEL1 L0 117 ASC SOUTH TYROL,SAR2CUBE SINCOHMAP SENTINEL1 L0 117 ASC SOUTH TYROL,"['SAR2CUBE', 'SINCOHMAP', 'SENTINEL1', 'L0', '117', 'ASC', 'SOUTH', 'TYROL']"
,SAR2Cube_SInCohMap_S1_L0_147_ASC_DONYANA,SAR2CUBE_SINCOHMAP_S1_L0_147_ASC_DONYANA,SAR2CUBE_SINCOHMAP_SENTINEL1_L0_147_ASC_DONYANA,SAR2CUBE SINCOHMAP SENTINEL1 L0 147 ASC DONYANA,SAR2CUBE SINCOHMAP SENTINEL1 L0 147 ASC DONYANA,"['SAR2CUBE', 'SINCOHMAP', 'SENTINEL1', 'L0', '147', 'ASC', 'DONYANA']"
,SAR2Cube_SInCohMap_S1_L0_154_DSC_DONYANA,SAR2CUBE_SINCOHMAP_S1_L0_154_DSC_DONYANA,SAR2CUBE_SINCOHMAP_SENTINEL1_L0_154_DSC_DONYANA,SAR2CUBE SINCOHMAP SENTINEL1 L0 154 DSC DONYANA,SAR2CUBE SINCOHMAP SENTINEL1 L0 154 DSC DONYANA,"['SAR2CUBE', 'SINCOHMAP', 'SENTINEL1', 'L0', '154', 'DSC', 'DONYANA']"
,SAR2Cube_SInCohMap_S1_L0_168_DSC_SOUTH_TYROL,SAR2CUBE_SINCOHMAP_S1_L0_168_DSC_SOUTH_TYROL,SAR2CUBE_SINCOHMAP_SENTINEL1_L0_168_DSC_SOUTH_TYROL,SAR2CUBE SINCOHMAP SENTINEL1 L0 168 DSC SOUTH TYROL,SAR2CUBE SINCOHMAP SENTINEL1 L0 168 DSC SOUTH TYROL,"['SAR2CUBE', 'SINCOHMAP', 'SENTINEL1', 'L0', '168', 'DSC', 'SOUTH', 'TYROL']"
,SAR2Cube_SInCohMap_S1_L0_80_DSC_FINLAND_AOI1,SAR2CUBE_SINCOHMAP_S1_L0_80_DSC_FINLAND_AOI1,SAR2CUBE_SINCOHMAP_SENTINEL1_L0_80_DSC_FINLAND_AOI1,SAR2CUBE SINCOHMAP SENTINEL1 L0 80 DSC FINLAND AOI1,SAR2CUBE SINCOHMAP SENTINEL1 L0 80 DSC FINLAND AOI1,"['SAR2CUBE', 'SINCOHMAP', 'SENTINEL1', 'L0', '80', 'DSC', 'FINLAND', 'AOI1']"
,SAR2Cube_SInCohMap_S1_L0_80_DSC_FINLAND_AOI2,SAR2CUBE_SINCOHMAP_S1_L0_80_DSC_FINLAND_AOI2,SAR2CUBE_SINCOHMAP_SENTINEL1_L0_80_DSC_FINLAND_AOI2,SAR2CUBE SINCOHMAP SENTINEL1 L0 80 DSC FINLAND AOI2,SAR2CUBE SINCOHMAP SENTINEL1 L0 80 DSC FINLAND AOI2,"['SAR2CUBE', 'SINCOHMAP', 'SENTINEL1', 'L0', '80', 'DSC', 'FINLAND', 'AOI2']"
