id_dedl,original,upper,missions,unsep,rmstr,split
,bd1c6abc-a413-489a-91c7-e2690e01ff0e,BD1C6ABC-A413-489A-91C7-E2690E01FF0E,BD1C6ABC-A413-489A-91C7-E2690E01FF0E,BD1C6ABC A413 489A 91C7 E2690E01FF0E,BD1C6ABC A413 489A 91C7 E2690E01FF0E,"['BD1C6ABC', 'A413', '489A', '91C7', 'E2690E01FF0E']"
,bef2507a-13cf-44c0-a809-0a1566f27631,BEF2507A-13CF-44C0-A809-0A1566F27631,BEF2507A-13CF-44C0-A809-0A1566F27631,BEF2507A 13CF 44C0 A809 0A1566F27631,BEF2507A 13CF 44C0 A809 0A1566F27631,"['BEF2507A', '13CF', '44C0', 'A809', '0A1566F27631']"
,befca22b-af37-4cd2-8e99-e09b3330fdc1,BEFCA22B-AF37-4CD2-8E99-E09B3330FDC1,BEFCA22B-AF37-4CD2-8E99-E09B3330FDC1,BEFCA22B AF37 4CD2 8E99 E09B3330FDC1,BEFCA22B AF37 4CD2 8E99 E09B3330FDC1,"['BEFCA22B', 'AF37', '4CD2', '8E99', 'E09B3330FDC1']"
,bf175d04-8441-4ed2-b089-9636ecf19353,BF175D04-8441-4ED2-B089-9636ECF19353,BF175D04-8441-4ED2-B089-9636ECF19353,BF175D04 8441 4ED2 B089 9636ECF19353,BF175D04 8441 4ED2 B089 9636ECF19353,"['BF175D04', '8441', '4ED2', 'B089', '9636ECF19353']"
,bfa6636e-55e1-4642-acbe-3a3bd951b798,BFA6636E-55E1-4642-ACBE-3A3BD951B798,BFA6636E-55E1-4642-ACBE-3A3BD951B798,BFA6636E 55E1 4642 ACBE 3A3BD951B798,BFA6636E 55E1 4642 ACBE 3A3BD951B798,"['BFA6636E', '55E1', '4642', 'ACBE', '3A3BD951B798']"
,c08082b2-4640-4b55-bc2e-f14cc0d685e6,C08082B2-4640-4B55-BC2E-F14CC0D685E6,C08082B2-4640-4B55-BC2E-F14CC0D685E6,C08082B2 4640 4B55 BC2E F14CC0D685E6,C08082B2 4640 4B55 BC2E F14CC0D685E6,"['C08082B2', '4640', '4B55', 'BC2E', 'F14CC0D685E6']"
,c1c46cb2-b02b-4013-aae5-a54a8c018b1e,C1C46CB2-B02B-4013-AAE5-A54A8C018B1E,C1C46CB2-B02B-4013-AAE5-A54A8C018B1E,C1C46CB2 B02B 4013 AAE5 A54A8C018B1E,C1C46CB2 B02B 4013 AAE5 A54A8C018B1E,"['C1C46CB2', 'B02B', '4013', 'AAE5', 'A54A8C018B1E']"
,c2c99dcc-ebe2-4dd7-9248-0219a82f6eb3,C2C99DCC-EBE2-4DD7-9248-0219A82F6EB3,C2C99DCC-EBE2-4DD7-9248-0219A82F6EB3,C2C99DCC EBE2 4DD7 9248 0219A82F6EB3,C2C99DCC EBE2 4DD7 9248 0219A82F6EB3,"['C2C99DCC', 'EBE2', '4DD7', '9248', '0219A82F6EB3']"
,c3858959-90da-4c1b-b9ca-492db0e514df,C3858959-90DA-4C1B-B9CA-492DB0E514DF,C3858959-90DA-4C1B-B9CA-492DB0E514DF,C3858959 90DA 4C1B B9CA 492DB0E514DF,C3858959 90DA 4C1B B9CA 492DB0E514DF,"['C3858959', '90DA', '4C1B', 'B9CA', '492DB0E514DF']"
,c389689b-38b7-4e3d-bc7b-a403da0cac47,C389689B-38B7-4E3D-BC7B-A403DA0CAC47,C389689B-38B7-4E3D-BC7B-A403DA0CAC47,C389689B 38B7 4E3D BC7B A403DA0CAC47,C389689B 38B7 4E3D BC7B A403DA0CAC47,"['C389689B', '38B7', '4E3D', 'BC7B', 'A403DA0CAC47']"
