id_dedl,original,upper,missions,unsep,rmstr,split
,alos-dem,ALOS-DEM,ALOS-DEM,ALOS DEM,ALOS DEM,"['ALOS', 'DEM']"
,alos-fnf-mosaic,ALOS-FNF-MOSAIC,ALOS-FNF-MOSAIC,ALOS FNF MOSAIC,ALOS FNF MOSAIC,"['ALOS', 'FNF', 'MOSAIC']"
,alos-palsar-mosaic,ALOS-PALSAR-MOSAIC,ALOS-PALSAR-MOSAIC,ALOS PALSAR MOSAIC,ALOS PALSAR MOSAIC,"['ALOS', 'PALSAR', 'MOSAIC']"
,aster-l1t,ASTER-L1T,ASTER-L1T,ASTER L1T,ASTER L1T,"['ASTER', 'L1T']"
,chesapeake-lc-13,CHESAPEAKE-LC-13,CHESAPEAKE-LC-13,CHESAPEAKE LC 13,CHESAPEAKE LC 13,"['CHESAPEAKE', 'LC', '13']"
,chesapeake-lc-7,CHESAPEAKE-LC-7,CHESAPEAKE-LC-7,CHESAPEAKE LC 7,CHESAPEAKE LC 7,"['CHESAPEAKE', 'LC', '7']"
,chesapeake-lu,CHESAPEAKE-LU,CHESAPEAKE-LU,CHESAPEAKE LU,CHESAPEAKE LU,"['CHESAPEAKE', 'LU']"
,chloris-biomass,CHLORIS-BIOMASS,CHLORIS-BIOMASS,CHLORIS BIOMASS,CHLORIS BIOMASS,"['CHLORIS', 'BIOMASS']"
,cil-gdpcir-cc-by,CIL-GDPCIR-CC-BY,CIL-GDPCIR-CC-BY,CIL GDPCIR CC BY,CIL GDPCIR CC BY,"['CIL', 'GDPCIR', 'CC', 'BY']"
,cil-gdpcir-cc-by-sa,CIL-GDPCIR-CC-BY-SA,CIL-GDPCIR-CC-BY-SA,CIL GDPCIR CC BY SA,CIL GDPCIR CC BY SA,"['CIL', 'GDPCIR', 'CC', 'BY', 'SA']"
,cil-gdpcir-cc0,CIL-GDPCIR-CC0,CIL-GDPCIR-CC0,CIL GDPCIR CC0,CIL GDPCIR CC0,"['CIL', 'GDPCIR', 'CC0']"
,cop-dem-glo-30,COP-DEM-GLO-30,COP-DEM-GLO-30,COP DEM GLO 30,COP DEM GLO 30,"['COP', 'DEM', 'GLO', '30']"
,cop-dem-glo-90,COP-DEM-GLO-90,COP-DEM-GLO-90,COP DEM GLO 90,COP DEM GLO 90,"['COP', 'DEM', 'GLO', '90']"
,daymet-annual-hi,DAYMET-ANNUAL-HI,DAYMET-ANNUAL-HI,DAYMET ANNUAL HI,DAYMET ANNUAL HI,"['DAYMET', 'ANNUAL', 'HI']"
,daymet-annual-na,DAYMET-ANNUAL-NA,DAYMET-ANNUAL-NA,DAYMET ANNUAL NA,DAYMET ANNUAL NA,"['DAYMET', 'ANNUAL', 'NA']"
,daymet-annual-pr,DAYMET-ANNUAL-PR,DAYMET-ANNUAL-PR,DAYMET ANNUAL PR,DAYMET ANNUAL PR,"['DAYMET', 'ANNUAL', 'PR']"
,daymet-daily-hi,DAYMET-DAILY-HI,DAYMET-DAILY-HI,DAYMET DAILY HI,DAYMET DAILY HI,"['DAYMET', 'DAILY', 'HI']"
,daymet-daily-na,DAYMET-DAILY-NA,DAYMET-DAILY-NA,DAYMET DAILY NA,DAYMET DAILY NA,"['DAYMET', 'DAILY', 'NA']"
,daymet-daily-pr,DAYMET-DAILY-PR,DAYMET-DAILY-PR,DAYMET DAILY PR,DAYMET DAILY PR,"['DAYMET', 'DAILY', 'PR']"
