id_dedl,original,upper,missions,unsep,rmstr,split
,b09312b0-1b4d-4cac-b585-eeb4089ba8a1,B09312B0-1B4D-4CAC-B585-EEB4089BA8A1,B09312B0-1B4D-4CAC-B585-EEB4089BA8A1,B09312B0 1B4D 4CAC B585 EEB4089BA8A1,B09312B0 1B4D 4CAC B585 EEB4089BA8A1,"['B09312B0', '1B4D', '4CAC', 'B585', 'EEB4089BA8A1']"
,b09dad3d-af07-4754-ae9b-1b20119a6987,B09DAD3D-AF07-4754-AE9B-1B20119A6987,B09DAD3D-AF07-4754-AE9B-1B20119A6987,B09DAD3D AF07 4754 AE9B 1B20119A6987,B09DAD3D AF07 4754 AE9B 1B20119A6987,"['B09DAD3D', 'AF07', '4754', 'AE9B', '1B20119A6987']"
,b11022a6-6ebc-48b5-b6a3-8bdebb337116,B11022A6-6EBC-48B5-B6A3-8BDEBB337116,B11022A6-6EBC-48B5-B6A3-8BDEBB337116,B11022A6 6EBC 48B5 B6A3 8BDEBB337116,B11022A6 6EBC 48B5 B6A3 8BDEBB337116,"['B11022A6', '6EBC', '48B5', 'B6A3', '8BDEBB337116']"
,b170c336-b6f0-440e-9f03-f26b37a49d54,B170C336-B6F0-440E-9F03-F26B37A49D54,B170C336-B6F0-440E-9F03-F26B37A49D54,B170C336 B6F0 440E 9F03 F26B37A49D54,B170C336 B6F0 440E 9F03 F26B37A49D54,"['B170C336', 'B6F0', '440E', '9F03', 'F26B37A49D54']"
,b1ae923c-b6ad-4ebd-9662-9fc3cc33a751,B1AE923C-B6AD-4EBD-9662-9FC3CC33A751,B1AE923C-B6AD-4EBD-9662-9FC3CC33A751,B1AE923C B6AD 4EBD 9662 9FC3CC33A751,B1AE923C B6AD 4EBD 9662 9FC3CC33A751,"['B1AE923C', 'B6AD', '4EBD', '9662', '9FC3CC33A751']"
,b3630a60-f3d7-4bc3-b41c-ab2eafdaf6ec,B3630A60-F3D7-4BC3-B41C-AB2EAFDAF6EC,B3630A60-F3D7-4BC3-B41C-AB2EAFDAF6EC,B3630A60 F3D7 4BC3 B41C AB2EAFDAF6EC,B3630A60 F3D7 4BC3 B41C AB2EAFDAF6EC,"['B3630A60', 'F3D7', '4BC3', 'B41C', 'AB2EAFDAF6EC']"
,b43043e9-bf30-4011-9acd-e5ca8abc78d2,B43043E9-BF30-4011-9ACD-E5CA8ABC78D2,B43043E9-BF30-4011-9ACD-E5CA8ABC78D2,B43043E9 BF30 4011 9ACD E5CA8ABC78D2,B43043E9 BF30 4011 9ACD E5CA8ABC78D2,"['B43043E9', 'BF30', '4011', '9ACD', 'E5CA8ABC78D2']"
,b451f919-1bc1-4a5c-b2d5-7cf31b6c3083,B451F919-1BC1-4A5C-B2D5-7CF31B6C3083,B451F919-1BC1-4A5C-B2D5-7CF31B6C3083,B451F919 1BC1 4A5C B2D5 7CF31B6C3083,B451F919 1BC1 4A5C B2D5 7CF31B6C3083,"['B451F919', '1BC1', '4A5C', 'B2D5', '7CF31B6C3083']"
,b477ec44-fecb-43fa-9679-4d10291340c1,B477EC44-FECB-43FA-9679-4D10291340C1,B477EC44-FECB-43FA-9679-4D10291340C1,B477EC44 FECB 43FA 9679 4D10291340C1,B477EC44 FECB 43FA 9679 4D10291340C1,"['B477EC44', 'FECB', '43FA', '9679', '4D10291340C1']"
,b55ad6f2-cdf8-401e-99ed-691df323c1bc,B55AD6F2-CDF8-401E-99ED-691DF323C1BC,B55AD6F2-CDF8-401E-99ED-691DF323C1BC,B55AD6F2 CDF8 401E 99ED 691DF323C1BC,B55AD6F2 CDF8 401E 99ED 691DF323C1BC,"['B55AD6F2', 'CDF8', '401E', '99ED', '691DF323C1BC']"
